"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"632
MEDICINE","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Emergency Med Clerkshp-CSC","Course Total","","7","3.731","57.1","28.6","14.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Endocrin/Diabetes Clrk-Milw","961
045","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","962
041","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","962
043","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Endocrinology Clerkship-CSC","Course Total","","3","3.500","33.3","33.3","33.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","965
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","965
003","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","965
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Gastroenterology Clerk-CSC","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Transfusion Med Clerk-CSC","969
011","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Gastro/Hepatology-Milwaukee","970
042","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","971
041","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","971
042","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","971
043","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","971
044","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","971
045","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","971
046","","2","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Infect Disease Clerkshp-CSC","Course Total","","12","3.750","50.0","25.0","8.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","16.7"
"Infectious Disease-Marshfld","973
011","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Infect Disease Clerk-Milw","974
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","976
041","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","976
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","976
044","","2","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Cl Nephrology Clerk-CSC/VAH","Course Total","","4","3.750","25.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","981
005","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","981
009","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","981
041","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","981
042","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","981
043","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","981
044","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Pulmonary Disease Clerk-CSC","Course Total","","8","3.667","37.5",".","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","37.5"
"Pulmonary Dis Clerk-LaCross","983
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","984
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","984
042","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","984
045","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Crit Care-ICU Subintrn-Milw","Course Total","","3","3.750","33.3","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","33.3"
"","985
041","","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","985
042","","4","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","985
043","","3","3.667","66.7",".","33.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","985
044","","2","3.250",".","50.0","50.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","985
045","","4","3.375",".","75.0","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Critical Care Medicine-CSC","Course Total","","17","3.618","41.2","41.2","17.6",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","988
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","988
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","988
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","988
046","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
