"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"704
PATH","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Toxicology I","625
001 301","","1","2.000",".",".","",".",".","100.0","","",".","",".",".",".",".",".",".",".",".",".","."
"Method Validation Basics","653
001","","4","3.000",".",".","","25.0",".","",".","",".","",".",".",".",".",".",".","75.0",".",".","."
"Method Validation Projects","654
001","","4","4.000","25.0",".","",".",".","",".","",".","",".",".",".",".",".",".","75.0",".",".","."
"Quality Control Basics","655
001","","2","4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"Quality Control Projects","656
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Quality Planning Basics","657
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Quality Planning Projects","658
001","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Senior Thesis","691
030","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Independent Rdg & Research","799
048","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar","900
001","","12","#Num!","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Journal Club","901
001","","14","",".",".","",".",".","",".","",".","",".",".",".","71.4","28.6",".",".",".",".","."
"","920
032","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","920
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","920
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","920
045","","2","4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","50.0"
"General Pathology Clerk-CSC","Course Total","","5","4.000","80.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","20.0"
"","924
006","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","924
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","924
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Lab Med: Clin Hematl El-CSC","Course Total","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
028","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
029","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
030","","4","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
049","","2","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
052","","2","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
055","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
056","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
059","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
060","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","","14","",".",".","",".",".","",".","",".","",".","92.9",".",".",".","7.1",".",".",".","."
