"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"632
MEDICINE","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","943
007","","2","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","943
009","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","943
020","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Cardiol Consult Serv-CSC","Course Total","","12","3.708","58.3","25.0","16.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","944
003","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","944
005","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","944
006","","3","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","944
009","","2","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clin Cardiol Clerkshp-VAH","Course Total","","7","3.286",".","57.1","42.9",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","945
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","945
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","945
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","945
044","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Acute Care Med Cardiol-Milw","Course Total","","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
001","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
002","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
003","","3","3.667","33.3","66.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
004","","3","3.667","33.3","66.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
005","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
006","","4","3.667","25.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","25.0"
"","953
007","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
008","","2","3.500",".","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","953
009","","3","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
010","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
041","","2","3.667","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
042","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","953
044","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Dermatology Clerkship-CSC","Course Total","","28","3.593","28.6","50.0","10.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","10.7"
"","954
001","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","954
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","954
007","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Dermatology Clerk-Marshfld","Course Total","","4","3.625","50.0","25.0","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
031","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","956
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Emergency Med Clerkshp-Milw","Course Total","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","957
009","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","957
041","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","957
042","","2","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","957
043","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","957
044","","2","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Emergency Med Clrk-Meriter","Course Total","","8","3.571","12.5","75.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","12.5"
"","960
007","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
043","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
044","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
