"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"632
MEDICINE","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Prin Int Med-Basic Clrkship","812
081","","20","3.382","20.0","25.0","40.0",".","",".","",".","",".",".",".",".",".",".","15.0",".",".","."
"","915
031","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","915
033","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","915
034","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","915
035","","3","",".",".",".",".","",".","",".","",".","33.3",".",".",".",".","66.7",".",".","."
"","915
036","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Therapeut&Cl Pharmacol-VAH","Course Total","","8","",".",".",".",".","",".","",".","",".","75.0",".",".",".",".","25.0",".",".","."
"","919
001","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","919
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","919
004","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","919
005","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","919
010","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","919
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","919
043","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","100.0"
"","919
044","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","100.0"
"","919
045","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","100.0"
"Individualized 4th Yr Clerk","Course Total","","9","3.857","44.4","22.2",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","33.3"
"","920
041","","18","3.972","94.4","5.6",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","920
042","","18","3.971","88.9","5.6",".",".","",".","",".","",".",".",".",".",".",".","5.6",".",".","."
"","920
043","","20","3.786","40.0","30.0",".",".","",".","",".","",".",".",".",".",".",".","30.0",".",".","."
"","920
044","","16","3.885","62.5","18.8",".",".","",".","",".","",".",".",".",".",".",".","18.8",".",".","."
"","920
045","","2","3.000",".","50.0",".","50.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","74","3.883","68.9","16.2",".","1.4","",".","",".","",".",".",".",".",".",".","13.5",".",".","."
"","921
043","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","921
044","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","921
045","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","Course Total","","5","3.700","60.0","20.0","20.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","933
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","933
044","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Geriat Subinternshp-CSC/VAH","Course Total","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","936
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","936
043","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","50.0"
"","936
044","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","100.0"
"Oncol Conslt&Outpt Clrk-VAH","Course Total","","4","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","50.0"
"","940
041","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","940
042","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","940
043","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","940
046","","2","",".",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","100.0"
"Allergy&ClinImmun Clerk-CSC","Course Total","","8","4.000","75.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","25.0"
"","941
008","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","941
010","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Allergy Clerkshp-Marshfield","Course Total","","2","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Clin Electrophys-Milwaukee","942
043","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","943
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","943
003","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","943
004","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","943
006","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
