"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAMILY MEDICINE","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"370
FAM MED","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"","920
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
043","","3","4.000","66.7",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","33.3"
"","920
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
045","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","920
046","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Clrkshp Fam Med&Prac-Madisn","Course Total","","7","4.000","57.1",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","42.9"
"","921
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
043","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","921
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
045","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","921
046","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Clerk-FamMed&Prac-Appleton","Course Total","","5","4.000","40.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","60.0"
"Clerk-FamMed&Prac-EauClaire","922
045","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Clerkshp-FamMed&Prac-Wausau","923
046","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","926
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","926
043","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clrk Fam&Comm Med-Native Am","Course Total","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","927
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","927
043","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","927
044","","3","3.750","33.3","33.3","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","33.3"
"","927
045","","3","4.000","33.3",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","66.7"
"","927
046","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Clrkshp:Rurl Hlth-Statewide","Course Total","","9","3.875","33.3","11.1","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","55.6"
"","930
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","930
043","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","930
045","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clin Clerk/Fam Med-St Lukes","Course Total","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","931
042","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","931
043","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Cl Mgmt-Addictv Disordr-Mad","Course Total","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","935
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","935
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","935
043","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","935
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","935
045","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Univ Hsp Fam Prac Sub-Intrn","Course Total","","5","3.900","80.0","20.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"370
FAM MED","Dept. Total","","35","3.932","54.3","8.6","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","37.1"
