"","","","","","","","","","","","Office of the Registrar",""
"TERM: 1032","","","Percentage Distribution of Grades","","","","","","","","",""
"","","","","","","","","","","","Institutional Reporting",""
"Fall 2002-2003","","","University of Wisconsin - Madison","","","","","","","","",""
"MED","","","","","","","","","","","",""
"NEUROPHYSIOLOGY","Section
#","Ave","A
AB
B
BC
C
D","F","S","U","CR","N","P","I","N","NR
Other"
"680
NEUROPHY","Grades","GPA","","","","","","","","","",""
"Current Research in Hearing","675
001  
1","",".  
.  
.  
.  
.  
.",".",".",".",".",".","100.0",".",".",".  
."
"680
NEUROPHY","Dept. Total
1","",".  
.  
.  
.  
.  
.",".",".",".",".",".","100.0",".",".",".  
."
"Summary by Level","#","Ave","A
AB
B
BC
C
D","F","S","U","CR","N","P","I","NW","NR
Other"
"","Grades","GPA","","","","","","","","","",""
"680
NEUROPHY","","","","","","","","","","","",""
"Graduate","1","",".  
.  
.  
.  
.  
.",".",".",".",".",".","100.0",".",".",".  
."
"","Dept. Total
1","",".  
.  
.  
.  
.  
.",".",".",".",".",".","100.0",".",".",".  
."
"January 27, 2003","","","","","","","","","","","","Page 389 of 441"
