"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"296
ECON","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"Workshop in Labor Economics","955
001","","10","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Quantitatve Macro-Econ Anal","965
001","","14","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Workshop-Public Economics","968
001","","22","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Wrkshp-Internatl Economics","977
001","","23","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
001","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
004","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
005","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
006","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Thesis","Course Total","","4","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","999
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","999
002","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Independent Work","Course Total","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"296
ECON","Dept. Total","","3787","2.983","19.8","17.4","","24.3","14.8","","14.4","","3.4","","1.2","3.1",".",".",".","0.0","","1.3","0.2","0.1","."
