"","","","","","","","","","","","","","","","","Office of the Registrar","","",""
"TERM: 1032","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Institutional Reporting","","",""
"Fall 2002-2003","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"RADIOLOGY","Section
#","Ave","A
AB
B
BC
C
D","F","","S","","U","","CR","N","","P","","I","","N","NR","Other"
"832
RADIOL","Grades","GPA","","","","","","","","","","","","","","","","",""
"832
RADIOL","Dept. Total
104","3.874","75.0
21.2
.  
.  
.  
.","",".","",".","",".",".","",".","",".","",".",".",".","3.8"
"Summary by Level","#","Ave","A
AB
B
BC
C
D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","",""
"Special","4","",".  
.  
.  
.  
.  
.","",".","",".","",".",".","",".","",".","",".",".",".","100.0"
