"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"882
SR MED","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","871
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","871
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Preceptorship-Wausau","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","873
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","873
064","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","873
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Preceptor-Prairie du Sac","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Preceptorship-Minong","875
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Preceptor-Madison/Cap Hlth Ctr","878
063","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Preceptorship-Reedsburg","883
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Extram Elect-Anesthesiology","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","922
015","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","922
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","922
046","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","922
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Extramur Elect-Family Med","Course Total","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Extram Elect-Human Oncology","923
043","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
041","","2","3.778","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
042","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Extramur Elect-Medicine","Course Total","","5","3.905","80.0","20.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","929
042","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","929
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","929
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Extramur Elect-Pediatrics","Course Total","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","932
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","932
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","932
045","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","932
046","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Extramur Elect-Radiology","Course Total","","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","933
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","933
043","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Extramur Elect-Rehab Med","Course Total","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","934
041","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","934
042","","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","934
043","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","934
082","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Extramur Elect-Surgery","Course Total","","9","3.950","88.9","11.1",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","936
001","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","936
042","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","936
043","","4","3.500","25.0","50.0","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","936
044","","2","3.500",".","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".","50.0","."
"Extramur Elec-Emergency Med","Course Total","","10","3.676","40.0","40.0","10.0",".","",".","",".","",".",".",".",".",".",".","",".",".","10.0","."
