"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"882
SR MED","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"3rd Yr Primary Care Clrkshp","812
081","","24","3.500","20.8","58.3","20.8",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","813
061","","11","3.455","27.3","36.4","36.4",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","813
062","","5","3.500","20.0",".","20.0",".","",".","",".","",".",".",".",".",".",".","60.0",".",".","."
"Integrated Cl Neurosci Clrkshp","Course Total","","16","3.462","25.0","25.0","31.3",".","",".","",".","",".",".",".",".",".",".","18.8",".",".","."
"","840
031","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","840
063","","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","840
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Spec 4th Yr Precept/Clrkshp","Course Total","","6","3.914","83.3","16.7",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Appleton","851
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Ashland","852
081","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","853
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","853
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Beaver Dam","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","854
063","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","854
081","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Beloit","Course Total","","2","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","855
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","855
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Blk Riv Falls","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Eau Claire","856
063","","2","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Green Bay","858
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","859
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","859
081","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Janesville","Course Total","","2","3.429","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-LaCrosse","860
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Marshfield","862
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Milwaukee","863
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","864
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","864
064","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","864
081","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Monroe","Course Total","","3","3.800","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","865
063","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","865
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Rhinelander","Course Total","","3","3.850","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","866
063","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","866
081","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Rice Lake","Course Total","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","867
063","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","867
064","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","867
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Shawano","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","868
063","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","868
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Sheboygan","Course Total","","2","3.786","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preceptorship-Viroqua","870
063","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
