"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","","",""
"NURSING","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"692
NURSING","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"","716
010","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","716
020","10
3.500","20.0","60.0","","20.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","716
030","4
3.875","75.0","25.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","716
050","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs II","Course Total","19
3.711","52.6","36.8","10.5","",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","719
016","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","719
031","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","719
037","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","719
041","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","719
042","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","719
054","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","6",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Birth&The Postbirth Period","733
001","11
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Nursing Assessment of Dev","739
001","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prev Hlth Care-Childn&Adol","745
001","7
3.929","85.7","14.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","4
4.000","75.0",".","",".",".","",".","",".","",".","25.0",".",".",".",".",".",".",".","."
"","747
027","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","747
035","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","747
041","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","747
060","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","747
061","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","5
4.000","40.0",".","",".",".","",".","",".","",".","60.0",".",".",".",".",".",".",".","."
"Adv Prac Nursng:Mentl Disordrs","754
001","9
3.444","33.3","33.3","","22.2","11.1","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Practicum-Nursing Mgmt","774
001","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","798
010","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","798
024","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","798
026","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","798
041","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","798
046","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","798
060","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","798
068","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","798
087","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","10
4.000","20.0",".","",".",".","",".","",".","",".","80.0",".",".",".",".",".",".",".","."
"","799
003","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","799
009","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","799
018","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
028","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","799
037","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","799
042","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","799
091","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","8
4.000","37.5",".","",".",".","",".","",".","",".","25.0",".",".",".",".","37.5",".",".","."
"Physiological Basis-Nursing","811
001","27
3.833","70.4","25.9","","3.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Cl Rsch:Illns,Treat&Hosplzn","860
001","9
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
010","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
018","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
026","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
035","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 422 of 441",""
