"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"148
ANESTHES","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","812
001","","4","3.500","25.0","50.0","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
002","","5","3.700","40.0","60.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
004","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
005","","4","3.625","50.0","25.0","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
006","","4","3.500","25.0","50.0","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
007","","7","3.857","85.7",".","14.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
008","","4","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
009","","4","3.625","50.0","25.0","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Third Year Anesthesia","Course Total","","34","3.691","52.9","32.4","14.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Lab Rsch-Anesthesiology-CSC","910
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
006","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
007","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
008","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","920
009","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
041","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
042","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
043","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
044","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
045","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","920
046","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Clin Anesthes Clerkship-CSC","Course Total","","24","4.000","87.5",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","12.5"
"","921
003","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clin Anesth Clerk-LaCrosse","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"148
ANESTHES","Dept. Total","","62","3.867","69.4","17.7","8.1",".","",".","",".","",".",".",".",".",".",".","",".",".",".","4.8"
