"BUS","","","","","","","","","","","","","","","","","","",""
"RISK MANAGEMENT AND INSUR","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"241
R M I","","Grades","GPA","","","","","","","","","","","","","","","",""
"","300
001 304","39","3.013","15.4","12.8","48.7","5.1","12.8","5.1",".",".",".",".",".",".",".",".",".","."
"","300
001 308","36","2.722","25.0","2.8","25.0","8.3","25.0","8.3","5.6",".",".",".",".",".",".",".",".","."
"","300
001 307","36","3.222","36.1",".","50.0",".","13.9",".",".",".",".",".",".",".",".",".",".","."
"","300
001 303","39","3.079","23.1","5.1","43.6","15.4","10.3",".",".","2.6",".",".",".",".",".",".",".","."
"","300
001 302","23","3.152","21.7","13.0","52.2",".","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","300
001 301","19","3.111","31.6","10.5","26.3",".","21.1","5.3",".","5.3",".",".",".",".",".",".",".","."
"","300
001 306","36","3.157","27.8","8.3","41.7","5.6","13.9",".",".","2.8",".",".",".",".",".",".",".","."
"","300
001 305","34","2.939","20.6","11.8","32.4",".","29.4","2.9",".","2.9",".",".",".",".",".",".",".","."
"Principles-Risk Management","Course Total","262","3.041","24.8","7.6","40.5","5.0","16.8","3.1","0.8","1.5",".",".",".",".",".",".",".","."
"Property Risk Management","610
001","52","3.010","9.6","25.0","34.6","19.2","11.5",".",".",".",".",".",".",".",".",".",".","."
"Life and Health Insurance","630
001","50","3.511","48.0","6.0","34.0",".","4.0",".",".","2.0",".",".",".",".","6.0",".",".","."
"Mgt-Insurance Enterprise","640
001","34","3.456","26.5","47.1","20.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710
001","22","3.500","45.5","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","4","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Rdg & Rsch-Risk Management","799
039","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
022","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
039","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"241
R M I","Dept. Total","430","3.144","26.7","12.6","36.7","5.6","12.3","1.9","0.5","2.6",".",".",".",".","1.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Sophomore","","18","2.556","11.1","5.6","44.4","5.6","16.7","5.6","11.1",".",".",".",".",".",".",".",".","."
"Junior","","154","3.026","24.7","6.5","40.3","6.5","20.1","1.9",".",".",".",".",".",".",".",".",".","."
"Senior","","210","3.236","27.1","18.1","35.2","5.7","8.6","1.9",".","1.9",".",".",".",".","1.4",".",".","."
"Undergraduates","","382","3.117","25.4","12.8","37.7","6.0","13.6","2.1","0.5","1.0",".",".",".",".","0.8",".",".","."
"Special","","4","3.455","75.0",".",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","43","3.463","32.6","11.6","32.6","2.3",".",".",".","16.3",".",".",".",".","4.7",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","430","3.144","26.7","12.6","36.7","5.6","12.3","1.9","0.5","2.6",".",".",".",".","1.2",".",".","."
