"SURGERY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"936
SURGERY","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","939
043","","4","3.500",".","25.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","75.0"
"","939
044","","3","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","939
045","","2","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Adt Orth-Fut Orth Clerk-CSC","Course Total","","15","3.833","13.3","6.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","80.0"
"","940
010","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","940
011","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Adt Orth-Non-Orth Clerk-CSC","Course Total","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","941
003","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","941
005","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","941
007","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","941
008","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Adult Orth & Fractures-VAH","Course Total","","4","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","948
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","948
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","948
003","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","948
007","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","948
008","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","948
009","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","948
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Otolaryngology Clerk-CSC","Course Total","","7","3.938","71.4","14.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","14.3"
"","949
006","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","949
011","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clin Otolaryng Clerk-LaCros","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","954
005","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","954
041","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Periph Vasculr Clrk-CSC/VAH","Course Total","","2","3.500",".","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","956
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
003","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
005","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
008","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","956
009","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
010","","2","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
043","","2","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","956
044","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Plastc&RecnstrSurgClerk-CSC","Course Total","","12","3.750","33.3","41.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","25.0"
"","957
008","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","957
046","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Plastic Surgery-Marshfield","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Emergncy Med Clerk-LaCrosse","959
041","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
041","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
044","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","960
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Transplantation Clerk-CSC","Course Total","","5","4.000","80.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","20.0"
"","961
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","961
009","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 416 of 441",""
