"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","P","I","N","NR","Other"
"728
PHM PRAC","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Advanced Independent Study","Course Total","19","3.935","84.2",".","5.3",".","",".",".","",".",".",".",".",".",".","5.3",".","5.3","."
"Renal Pharmacotherapy","723
002","6","3.583","66.7",".","16.7","16.7","",".",".","",".",".",".",".",".",".",".",".",".","."
"Immunology Pharmacotherapy","725
002","8","2.375","12.5",".","12.5","50.0","","12.5",".","","12.5",".",".",".",".",".",".",".",".","."
"","740
003 303","20","3.947","85.0","10.0",".",".","",".",".","",".",".",".",".",".",".","5.0",".",".","."
"","740
004 304","23","3.870","87.0","4.3","4.3","4.3","",".",".","",".",".",".",".",".",".",".",".",".","."
"","740
103 403","1","4.000","100.0",".",".",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","44","3.906","86.4","6.8","2.3","2.3","",".",".","",".",".",".",".",".",".","2.3",".",".","."
"","741
003 303","17","4.000","94.1",".",".",".","",".",".","",".",".",".",".",".",".","5.9",".",".","."
"","741
004 304","22","4.000","72.7",".",".",".","",".",".","",".",".",".",".",".",".","22.7",".","4.5","."
"Ambulatry Phmceut Care Clrk","Course Total","39","4.000","82.1",".",".",".","",".",".","",".",".",".",".",".",".","15.4",".","2.6","."
"Intrdis Care-Chld/Chron Illnss","746
001","1","4.000","100.0",".",".",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"","760
003","61","3.890","85.2","8.2","4.9",".","",".","1.6","",".",".",".",".",".",".",".",".",".","."
"","760
004","53","3.857","73.6","11.3","7.5",".","",".",".","",".",".",".",".",".",".","5.7",".","1.9","."
"","760
103","5","3.900","80.0","20.0",".",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"","760
104","2","3.750","50.0","50.0",".",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","121","3.875","79.3","10.7","5.8",".","",".","0.8","",".",".",".",".",".",".","2.5",".","0.8","."
"Conf:Rsch Workers Hosp Phm","961
001","6","3.750","66.7","16.7","16.7",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","4","4.000","25.0",".",".",".","",".",".","",".",".",".",".",".","75.0",".",".",".","."
"728
PHM PRAC","Dept. Total","1180","3.662","35.4","11.0","11.1","5.4","","1.8","0.3","","0.2",".",".",".",".","32.6","1.6",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Senior","","30","3.414","46.7","13.3","16.7","13.3","","3.3","3.3","",".",".",".",".",".",".","3.3",".",".","."
"Undergraduates","","30","3.414","46.7","13.3","16.7","13.3","","3.3","3.3","",".",".",".",".",".",".","3.3",".",".","."
"Special","","17","3.096","23.5","35.3","5.9","23.5","","5.9",".","","5.9",".",".",".",".",".",".",".",".","."
"Graduate","","29","3.583","37.9","13.8","6.9","6.9","","3.4","3.4","",".",".",".",".",".","10.3","17.2",".",".","."
"Prof Yr 1","","165","3.463","6.7","3.6","3.6","3.0","",".",".","",".",".",".",".",".","81.8","0.6",".","0.6","."
"Prof Yr 2","","263","3.243","14.4","12.9","14.8","6.5","","4.6",".","","0.4",".",".",".",".","46.4",".",".",".","."
"Prof Yr 3","","474","3.450","37.1","13.1","14.3","6.5","","1.3","0.2","",".",".",".",".",".","26.4","0.4",".","0.6","."
"Prof Yr 4","","202","3.901","81.2","6.9","5.0","0.5","",".","0.5","",".",".",".",".",".",".","5.0",".","1.0","."
"Professionals","","1104","3.670","35.2","10.5","11.1","4.9","","1.6","0.2","","0.1",".",".",".",".","34.6","1.2",".","0.5","."
"","Dept. Total","1180","3.662","35.4","11.0","11.1","5.4","","1.8","0.3","","0.2",".",".",".",".","32.6","1.6",".","0.5","."
