"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","",""
"HUMAN DEVEL & FAMILY STUDI","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"230
HDFS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Independent Study","299
005","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","35","3.243","31.4","28.6","14.3","8.6","11.4","5.7",".",".",".",".",".",".",".",".",".","."
"","362
002","225","3.109","27.6","15.6","26.7","10.2","12.4","4.4","0.9","0.9",".",".",".",".","0.9","0.4",".","."
"Development of Young Child","Course Total","260","3.127","28.1","17.3","25.0","10.0","12.3","4.6","0.8","0.8",".",".",".",".","0.8","0.4",".","."
"","363
001","45","3.167","17.8","28.9","31.1","13.3","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"","363
002","272","2.915","5.9","21.7","31.3","27.9","7.4","2.6","0.4","0.7",".",".",".",".","1.1","1.1",".","."
"Develp: Adolescence-Old Age","Course Total","317","2.951","7.6","22.7","31.2","25.9","7.3","2.5","0.3","0.6",".",".",".",".","0.9","0.9",".","."
"Intellect Develop&Preschool","460
001","19","3.711","78.9","5.3",".","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"Child Play-Development&Role","464
001","28","3.611","35.7","46.4","14.3",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Family&Com Influences-Child","469
001","32","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infants&Toddlers:Developmnt","470
001","27","3.741","74.1","11.1","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","32","3.500","34.4","37.5","25.0",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","474
001","48","3.510","37.5","35.4","20.8","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"","516
001","31","3.726","64.5","22.6","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","516
002","33","3.636","54.5","27.3","12.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","Course Total","64","3.680","59.4","25.0","9.4","4.7","1.6",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","31","3.150","25.8","19.4","25.8","9.7","12.9","3.2",".","3.2",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","30","3.450","30.0","36.7","30.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","564
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566
001","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","14","3.864","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
011","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
025","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","Course Total","17","3.887","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662
001","29","3.808","79.3","10.3","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:Human Dev & Fam Studies","664
001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","699
017","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Theory & Issues-Human Dev","725
001","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
001","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","766
002","14","3.850","50.0","21.4",".",".",".",".",".","7.1",".",".",".",".","21.4",".",".","."
"","766
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","32","3.870","62.5","21.9",".",".",".",".",".","3.1",".",".",".",".","12.5",".",".","."
"Family Theory I (Survey)","865
001","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","990
005","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
006","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
007","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
009","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
010","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
