"","","","","","","","","","","","","","","","","Office of the Registrar","",""
"TERM: 1032","","","Percentage Distribution of Grades","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Institutional Reporting","",""
"Fall 2002-2003","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section
#","Ave","A
AB
B
BC
C
D","F","","S","","U","","CR","N","","P","","I","N","NR","Other"
"882
SR MED","Grades","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","Dept. Total
129","3.736","58.9
28.7
9.3
.  
.  
.","",".","",".","",".",".","",".","",".","2.3",".","0.8","."
"Summary by Level","#","Ave","A
AB
B
BC
C
D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","",""
"Prof Yr 3","40","3.508","25.0
45.0
22.5
.  
.  
.","",".","",".","",".",".","",".","",".","7.5",".",".","."
