"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"896
SOC WORK","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Field Prac/Integrat Smr III","Course Total","116","3.927","81.0","13.8",".",".","",".","",".","",".",".",".",".",".",".","5.2",".",".","."
"","801
001","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","801
003","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","801
004","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","801
014","2","3.500",".","50.0",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","801
015","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","6","3.893","50.0","16.7",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"Aging & Mental Hlth-Illness","821
001","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Grief, Death, Loss and Life","825
001","26","3.980","92.3","3.8",".",".","",".","",".","",".","3.8",".",".",".",".",".",".",".","."
"Soc Work Practice-Older Adults","826
001","6","4.000","83.3",".",".",".","",".","",".","",".","16.7",".",".",".",".",".",".",".","."
"Case Management","845
001","25","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","15","3.933","86.7","13.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Human Service Organizations","871
001","19","3.895","78.9","21.1",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Spec Iss-Health Care Settng","873
001","9","3.889","88.9",".","11.1",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","27","3.759","55.6","40.7","3.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","15","3.467","46.7","6.7","40.0","6.7","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","924
001","18","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Social Work and Alcoholism","928
001","24","3.391","25.0","45.8","12.5","4.2","","4.2","","4.2","",".",".",".",".",".",".","4.2",".",".","."
"Hist & Philos-Soc Welfare/Work","941
001","12","3.591","41.7","33.3","8.3","8.3","",".","",".","",".",".",".",".",".",".","8.3",".",".","."
"","990
029","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
030","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
032","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
046","2","",".",".",".",".","",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","990
047","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
048","3","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Thesis-Research","Course Total","10","",".",".",".",".","",".","",".","",".","30.0",".",".",".","70.0",".",".",".","."
"Soc Work Applicatns of Rsch","991
001","10","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
003","3","",".",".",".",".","",".","",".","",".","66.7",".",".",".",".","33.3",".",".","."
"","999
018","2","3.714","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
029","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","999
030","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
032","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","999
038","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
040","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
044","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","999
048","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
049","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
051","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
067","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","999
070","3","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Independent Reading","Course Total","26","3.968","57.7",".","3.8",".","",".","",".","",".","7.7",".",".",".",".","30.8",".",".","."
