"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"942
THEATRE","","Grades","GPA","","","","","","","","","","","","","","","",""
"","120
001 319","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","120
001 301","17","3.382","41.2","29.4","5.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","120
001 318","16","3.531","37.5","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","120
001 320","17","3.265","35.3","29.4","23.5",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","120
001 312","14","3.500","35.7","42.9","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","120
001 302","15","3.500","26.7","60.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","120
001 303","13","3.500","38.5","38.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","120
001 304","15","3.033","20.0","20.0","20.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","120
001 305","16","3.281","18.8","37.5","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","120
001 306","14","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","120
001 307","17","3.500","29.4","47.1","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","120
001 308","15","3.167","26.7","26.7","33.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","120
001 309","14","3.571","57.1","21.4","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","120
001 311","11","3.182","27.3","36.4","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","120
001 317","16","3.406","50.0","31.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","120
001 313","16","3.333","31.3","25.0","18.8","12.5","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"","120
001 314","12","3.375","25.0","41.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","120
001 315","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
001 316","22","3.341","36.4","27.3","13.6","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","120
001 310","8","3.125","12.5","25.0","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Dramatic Arts","Course Total","297","3.388","34.0","33.7","18.9","6.7","4.0","1.0","1.3",".",".",".",".",".",".","0.3",".","."
"Voice Training","140
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","17","3.719","76.5",".","5.9","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","150
005","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","19","3.944","84.2","10.5",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","150
008","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","132","3.908","84.8","11.4","0.8","0.8","0.8",".",".","1.5",".",".",".",".",".",".",".","."
"","161
001","5","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
003","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
004","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
006","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
007","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
009","10","3.600","80.0",".",".",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","36","3.736","72.2","16.7","2.8","2.8","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","163
001 301","9","3.328","33.3","33.3","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","170
001 306","4","3.333",".","50.0","25.0",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","170
001 302","4","3.067","25.0","25.0","25.0",".",".","25.0",".",".",".",".",".",".",".",".",".","."
"","170
001 309","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001 307","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001 301","3","3.545","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001 305","5","3.647","60.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001 304","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001 303","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
