"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"252
COM DIS","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110
001","","217","3.752","75.6","9.2","8.3","2.8","1.4","","0.5","","0.9","1.4",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200
001","","51","3.408","29.4","41.2","15.7","5.9",".","","2.0","","2.0","3.9",".",".",".",".",".",".",".","."
"Speech Science","201
001","","52","2.882","3.8","28.8","28.8","21.2","9.6","","3.8","","1.9",".",".",".",".",".","1.9",".",".","."
"Normal Aspects of Hearing","202
001","","48","3.583","52.1","25.0","14.6","4.2","4.2","",".","",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210
001","","59","3.364","40.7","25.4","16.9","6.8","8.5","",".","","1.7",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240
001","","122","2.867","13.9","13.9","34.4","13.9","15.6","","4.1","","2.5","1.6",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception","303
001","","45","3.389","33.3","24.4","33.3","4.4","2.2","","2.2","",".",".",".",".",".",".",".",".",".","."
"Speech Pathology I","315
001","","48","3.802","77.1","10.4","10.4",".","2.1","",".","",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371
001","","18","3.750","55.6","38.9","5.6",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","390
001","","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","390
002","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","9","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","424
001 304","","12","3.875","75.0","25.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","424
001 305","","10","3.450","20.0","60.0","10.0","10.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"","424
001 303","","10","3.550","50.0","30.0","10.0",".","10.0","",".","",".",".",".",".",".",".",".",".",".","."
"","424
001 302","","12","3.750","66.7","16.7","16.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","424
001 301","","14","3.821","64.3","35.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","424
001 306","","10","3.750","70.0","10.0","20.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","Course Total","","68","3.713","58.8","29.4","8.8","1.5","1.5","",".","",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440
001","","19","3.158","15.8","26.3","42.1","5.3","10.5","",".","",".",".",".",".",".",".",".",".",".","."
"Topics in Com Dis","455
001","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503
001","","20","3.475","50.0","15.0","15.0","20.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631
001","","11","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640
001","","18","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692
001","","11","3.955","90.9","9.1",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
009","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
013","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
035","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","3.929","75.0","25.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Dysphasia in Adults","712
001","","21","3.643","38.1","52.4","9.5",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719
001","","20","3.525","20.0","65.0","15.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Aug Com Sys-Severly Handcp","731
001 301","","14","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
001","","3","3.833","66.7","33.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
002","","3","3.833","66.7","33.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
003","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
004","","4","3.875","75.0","25.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
005","","3","4.000","66.7",".",".",".",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","790
006","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
007","","21","3.810","76.2","9.5",".","4.8",".","",".","",".",".",".",".",".",".","9.5",".",".","."
"","790
008","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
010","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","43","3.857","76.7","14.0",".","2.3",".","",".","",".",".",".",".",".",".","7.0",".",".","."
"","791
001","","9","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","791
003","","13","3.714","61.5","7.7","7.7",".",".","",".","",".",".",".",".",".",".","23.1",".",".","."
"Clerkship in Audiology","Course Total","","22","3.826","77.3","4.5","4.5",".",".","",".","",".",".",".",".",".",".","13.6",".",".","."
