"POPULATION HEALTH SCIENCES Section","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"810
POP HLTH","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Intro to Biology of Aging","155
001","","15","3.214","26.7",".","60.0",".","","6.7","",".","",".","6.7",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380
001","","6","3.667","50.0","33.3","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502
001","","15","3.643","40.0","40.0","13.3",".","",".","",".","",".","6.7",".",".",".",".",".",".",".","."
"Economics of Health Care","548
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625
001 301","","1","2.500",".",".",".","100.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","650
001","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","650
002","","9","3.929","66.7","11.1",".",".","",".","",".","",".","11.1",".",".",".",".","11.1",".",".","."
"","650
023","","8","4.000","87.5",".",".",".","",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"Special Topics","Course Total","","18","3.964","72.2","5.6",".",".","",".","",".","",".","11.1",".",".",".",".","11.1",".",".","."
"","699
029","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
071","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"International Health Systems","718
001","","11","3.727","45.5","54.5",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Contemp Iss:Health Care","719
001","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Determinants-Population Health","795
001","","20","3.842","65.0","30.0",".",".","",".","",".","",".",".",".",".",".",".","5.0",".",".","."
"Strategy&Meth-Epidemiology","797
001","","22","3.625","45.5","18.2","22.7",".","",".","",".","",".","4.5",".",".",".",".","4.5","4.5",".","."
"Epidemiol-Chronic Diseases","802
001","","5","4.000","80.0",".",".",".","",".","",".","",".","20.0",".",".",".",".",".",".",".","."
"Monitoring Population Health","803
001","","12","3.750","66.7","16.7","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Health Economics","848
001","","7","3.211","14.3","28.6","42.9","14.3","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Quant Meth-Populatn Health II","900
001","","9","3.750","55.6","22.2","11.1",".","",".","",".","",".","11.1",".",".",".",".",".",".",".","."
"Doctoral Seminar","901
001","","4","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","911
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
003","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
004","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
005","","3","3.667","66.7",".","33.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
006","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
008","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
009","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
011","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","915
012","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".","50.0","."
"Fundmtls Interntl Hlth-MSC","Course Total","","18","3.882","83.3",".","11.1",".","",".","",".","",".",".",".",".",".",".",".",".","5.6","."
"Diseas&Injry Epidem-DivHlth","916
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
005","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
020","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
024","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
029","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
044","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
067","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
071","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","","9","",".",".",".",".","",".","",".","",".","77.8",".",".",".","22.2",".",".",".","."
