"SURGERY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"936
SURGERY","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","699
052","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".","100.0","."
"","699
102","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","699
103","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Independent Study","Course Total","","3","4.000","66.7",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".","33.3","."
"","812
081","","27","3.115","7.4","18.5","59.3","11.1","",".","",".","",".",".","3.7",".",".",".","",".",".",".","."
"","812
082","","21","3.238","14.3","23.8","57.1","4.8","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
083","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Third Year Surgery","Course Total","","49","3.170","10.2","20.4","57.1","8.2","",".","",".","",".",".","2.0",".",".",".","",".",".",".","2.0"
"","910
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","910
081","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","910
082","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","4","4.000","75.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","25.0"
"Individualized 4th Yr Clerk","919
003","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
001","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
003","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
011","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
044","","2","3.500",".","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"Gen Surgery Clerkship-CSC","Course Total","","7","3.773","42.9","42.9",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","14.3"
"","921
003","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
005","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
007","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
008","","3","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
042","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","7","3.611","14.3","85.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
041","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
042","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
043","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
044","","3","3.864","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","11","3.965","90.9","9.1",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
043","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
045","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Gen Surg Clerkship-LaCrosse","Course Total","","3","3.667","33.3","66.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Surgery for the Non-Surgeon","926
044","","5","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","929
041","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","929
042","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","929
044","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","929
045","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","929
046","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Pediatric Surgery","Course Total","","5","3.300","20.0","20.0","60.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","935
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","935
042","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Neurosurgery Clerkship-CSC","Course Total","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","939
031","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","939
041","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"","939
042","","3","4.000","33.3",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","66.7"
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 415 of 441",""
