"RADIOLOGY","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"832
RADIOL","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"","813
001","","5","3.800","60.0","40.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
002","","5","3.900","80.0","20.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
003","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
004","","5","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
005","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
006","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
007","","5","3.900","80.0","20.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
008","","6","3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
009","","4","3.875","75.0","25.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
010","","4","3.875","75.0","25.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","813
012","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Radiology Clerkship","Course Total","","43","3.884","76.7","23.3","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","910
009","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","910
042","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","910
043","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","910
045","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","6","3.909","83.3","16.7","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
003","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
008","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
001","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
002","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
003","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
004","","4","4.000","75.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","25.0"
"","920
005","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
006","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
007","","4","3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
008","","5","3.800","60.0","40.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
009","","5","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
010","","5","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
012","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
041","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
043","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","41","3.932","85.4","12.2","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","2.4"
"","923
005","","2","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"","923
010","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
011","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
012","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","Course Total","","5","4.000","60.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","40.0"
"","924
042","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
043","","2","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
045","","2","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
046","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Gen Radiol Clerk-St Lukes","Course Total","","7","3.583","14.3","71.4","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","14.3"
