"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOGY Section","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"436
OBS&GYN","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"3rd Year Obs & Gynecology","812
061","","14","3.667","42.9","28.6","","14.3",".","",".","",".","",".",".","7.1",".",".",".","","7.1",".",".","."
"","919
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
043","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
045","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
033","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
042","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","921
044","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Gynecol Oncology Clerk-CSC","Course Total","","3","3.500",".","66.7","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","33.3"
"Inpt-Outpt Clerk-Marshfield","922
003","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Reproduct Med Clerkshp-CSC","924
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","925
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","925
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","925
043","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","925
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","925
045","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"High Risk Obst Clrk-Meriter","Course Total","","5","4.000","80.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","20.0"
"ObGyn Inpatnt Clrk-LaCrosse","927
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Research","990
058","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"436
OBS&GYN","Dept. Total","","31","3.787","61.3","19.4","","6.5",".","",".","",".","",".",".","3.2",".",".",".","","3.2",".",".","6.5"
