"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"708
PEDIAT","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","812
061","","16","3.563","12.5","87.5",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","812
062","","13","3.577","30.8","53.8","15.4",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"3rd Year Pediatrics","Course Total","","29","3.569","20.7","72.4","6.9",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
002","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
014","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","919
042","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","3.909","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
041","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
043","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
044","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
045","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","920
046","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Pediatric Subinternship-CSC","Course Total","","8","3.643","37.5","37.5","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","12.5"
"Rural Pediatrics-Whitehall","925
043","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Ambul Clin Ped Clerk-LaCros","926
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","928
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","928
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","928
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Subintrn Newborn Med-Meritr","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Gen Outpatient Peds-Marshfl","929
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","930
043","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","940
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","940
042","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","940
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","940
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","940
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","5","3.900","80.0","20.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","946
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","946
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","946
045","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Child Psych Clerk-CSC","Course Total","","3","4.000","66.7",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","33.3"
"","950
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","950
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","950
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","950
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","950
045","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Ped Endocr/DiabetesClrk-CSC","Course Total","","5","4.000","80.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","20.0"
"","953
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","953
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
044","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","956
045","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Hematol-Oncology Clerk-CSC","Course Total","","5","4.000","80.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","20.0"
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 395 of 441",""
