"PHARMACEUTICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"718
PHM SCI","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","310
001","103","3.270","20.4","31.1","26.2","19.4",".",".","",".","1.9",".",".",".",".","1.0",".",".","."
"","310
001 301","44","3.405","31.8","25.0","29.5","6.8","2.3",".","",".","2.3",".",".",".",".","2.3",".",".","."
"Drugs and Their Actions","Course Total","147","3.310","23.8","29.3","27.2","15.6","0.7",".","",".","2.0",".",".",".",".","1.4",".",".","."
"Survey of Pharmacology","401
001","155","3.275","35.5","18.1","23.2","16.8","1.3","1.9","","1.9",".",".",".",".",".","1.3",".",".","."
"","420
001 301 6","28","3.000","7.1","32.1","25.0","25.0","10.7",".","",".",".",".",".",".",".",".",".",".","."
"","420
001 301 6","31","3.000","22.6","9.7","25.8","22.6","9.7","6.5","",".",".",".",".",".",".","3.2",".",".","."
"","420
001 301 6","27","2.962","3.7","25.9","25.9","40.7",".",".","",".",".",".",".",".",".","3.7",".",".","."
"","420
001 301 6","28","2.839",".","21.4","32.1","39.3","3.6","3.6","",".",".",".",".",".",".",".",".",".","."
"","420
001 301 6","29","2.845","13.8","20.7","6.9","37.9","17.2","3.4","",".",".",".",".",".",".",".",".",".","."
"Intro-Drug Action&Delivry I","Course Total","143","2.929","9.8","21.7","23.1","32.9","8.4","2.8","",".",".",".",".",".",".","1.4",".",".","."
"Selected Topics-Pharm Sci","490
001","126","3.833","78.6","10.3","10.3","0.8",".",".","",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","491
001","9","3.667","44.4","44.4","11.1",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","492
001","9","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","495
001","43","",".",".",".",".",".",".","",".",".",".","97.7","2.3",".",".",".",".","."
"","495
002","39","",".",".",".",".",".",".","",".",".",".","94.9","5.1",".",".",".",".","."
"","495
003","43","",".",".",".",".",".",".","",".",".",".","100.0",".",".",".",".",".","."
"Selected Topics-Pharm Sci","Course Total","125","",".",".",".",".",".",".","",".",".",".","97.6","2.4",".",".",".",".","."
"Pharmacology I","521
001","130","2.962","20.0","13.1","28.5","16.2","18.5","3.8","",".",".",".",".",".",".",".",".",".","."
"Medicinal Chemistry I","531
001","132","2.655","9.1","9.1","27.3","12.9","38.6","3.0","",".",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems","540
001","126","3.060","7.9","28.6","32.5","29.4","1.6",".","",".",".",".",".",".",".",".",".",".","."
"","541
001 301","26","3.865","80.8","11.5","7.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","541
001 302","25","3.840","80.0","8.0","12.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","541
001 303","24","3.771","75.0","8.3","12.5","4.2",".",".","",".",".",".",".",".",".",".",".",".","."
"","541
001 304","26","3.962","96.2",".","3.8",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","541
001 305","25","3.720","60.0","24.0","16.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems Lab I","Course Total","126","3.833","78.6","10.3","10.3","0.8",".",".","",".",".",".",".",".",".",".",".",".","."
"Lab Techniques-Pharmcol&Toxcol","558
001 301","12","3.625","41.7","41.7","16.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","623
001 301","116","2.823","9.5","11.2","35.3","22.4","18.1","3.4","",".",".",".",".",".",".",".",".",".","."
"","623
001","24","2.646","4.2","4.2","29.2","41.7","20.8",".","",".",".",".",".",".",".",".",".",".","."
"Pharmacology III","Course Total","140","2.793","8.6","10.0","34.3","25.7","18.6","2.9","",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625
001 301","7","3.500","42.9","14.3","42.9",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Drug Interactions","635
001","10","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Nonprescription Medications","638
001","107","3.234","11.2","26.2","60.7","1.9",".",".","",".",".",".",".",".",".",".",".",".","."
"Phmceut","645
001","133","3.301","19.5","38.3","25.6","15.8","0.8",".","",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"","699
010","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
025","10","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
048","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
059","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
077","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","14","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Molecular Recognition","766
001","14","3.734","57.1","28.6","14.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics in Pharm Sci","770
001","13","3.875","76.9","23.1",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics-Pharm Sci","780
001","12","3.417","41.7",".","58.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Chem-Biology Interface I","890
001","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
