"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"896
SOC WORK","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Special Topics in Social Work","579
001","","4","3.167",".","50.0",".","25.0",".",".","",".",".",".",".",".",".","25.0",".",".","."
"Interdis Rur Prim Hlth Care","600
001","","3","3.833","66.7","33.3",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","605
001","","37","3.833","67.6","27.0","2.7",".",".",".","",".",".",".",".",".",".","2.7",".",".","."
"","640
001 304","","17","3.656","58.8","17.6","11.8",".",".","5.9","",".",".",".",".",".",".","5.9",".",".","."
"","640
001 303","","21","3.619","61.9","4.8","28.6","4.8",".",".","",".",".",".",".",".",".",".",".",".","."
"","640
001 302","","22","3.318","31.8","22.7","31.8","4.5","4.5","4.5","",".",".",".",".",".",".",".",".",".","."
"","640
001 301","","25","3.820","76.0","12.0","12.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","","85","3.607","57.6","14.1","21.2","2.4","1.2","2.4","",".",".",".",".",".",".","1.2",".",".","."
"Social Work and Adolescents","642
001","","24","4.000","95.8",".",".",".",".",".","",".",".",".",".",".",".","4.2",".",".","."
"","644
001","","41","3.420","31.7","19.5","24.4","7.3","2.4",".","",".","2.4",".",".",".",".","12.2",".",".","."
"","644
002","","15","3.550","40.0","20.0",".","13.3",".",".","",".",".",".",".",".",".","26.7",".",".","."
"","644
003","","1","",".",".",".",".",".",".","",".",".",".",".",".",".",".",".","100.0","."
"Soc Work & Devel Disabilities","Course Total","","57","3.450","33.3","19.3","17.5","8.8","1.8",".","",".","1.8",".",".",".",".","15.8",".","1.8","."
"Child Abuse and Neglect","646
001","","31","3.802","61.3","38.7",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","11","3.534","27.3","45.5","18.2",".",".",".","",".",".",".",".",".",".","9.1",".",".","."
"Intl Aspects of Social Work","659
001","","12","3.952","83.3","8.3",".",".",".",".","",".",".",".",".",".",".","8.3",".",".","."
"Topics-Contemp Soc Welfare","661
001","","12","3.867","75.0","25.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
010","","19","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
030","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
036","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
037","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
045","","1","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
052","","2","4.000","50.0",".",".",".",".",".","",".",".",".",".",".",".","50.0",".",".","."
"","699
055","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","27","3.971","92.6","3.7",".",".",".",".","",".",".",".",".",".",".","3.7",".",".","."
"Human Behavior & Environmnt","711
001","","52","3.567","48.1","28.8","13.5","7.7","1.9",".","",".",".",".",".",".",".",".",".",".","."
"","712
001","","21","3.810","66.7","28.6","4.8",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","712
002","","27","3.720","51.9","37.0",".",".","3.7",".","",".","3.7",".",".",".",".","3.7",".",".","."
"Psychopathology in Soc Wrk","Course Total","","48","3.761","58.3","33.3","2.1",".","2.1",".","",".","2.1",".",".",".",".","2.1",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","","25","3.880","80.0","16.0","4.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","","5","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
001","","11","3.938","63.6","9.1",".",".",".",".","",".",".",".",".",".",".","27.3",".",".","."
"","800
002","","6","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
003","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
004","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
005","","7","3.857","71.4","28.6",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
006","","8","3.938","87.5","12.5",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
008","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
009","","3","3.750","33.3","33.3",".",".",".",".","",".",".",".",".",".",".","33.3",".",".","."
"","800
010","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
011","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
012","","4","3.875","75.0","25.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
013","","27","3.923","81.5","14.8",".",".",".",".","",".",".",".",".",".",".","3.7",".",".","."
"","800
014","","15","3.893","73.3","20.0",".",".",".",".","",".",".",".",".",".",".","6.7",".",".","."
"","800
015","","11","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","800
016","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
