"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIATRICS","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"708
PEDIAT","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"Neonatal Clerk-Marshfield","962
005","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","965
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","965
043","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Pediatric Neurol Clerk-CSC","Course Total","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","966
042","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","966
043","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","966
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","966
045","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","4","3.875","75.0","25.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","967
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","967
043","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","967
044","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","967
046","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Ped Pulmon/Allergy Clrk-CSC","Course Total","","4","3.667","25.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","25.0"
"708
PEDIAT","Dept. Total","","80","3.716","50.0","40.0","","3.8",".","",".","",".","",".",".",".",".",".",".","",".",".",".","6.3"
