"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","","",""
"NURSING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"692
NURSING","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"","105
001","23","3.386","21.7","43.5","21.7","4.3","4.3","",".","",".","4.3",".",".",".",".","",".",".",".","."
"","105
002 304","21","3.952","95.2",".","4.8",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","105
002 305","23","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","105
002 306","21","3.976","95.2","4.8",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","105
002 301","24","3.708","62.5","20.8","12.5","4.2",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","105
002 303","21","3.929","85.7","14.3",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","105
002 302","22","3.977","95.5","4.5",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","Section Total","132","3.920","88.6","7.6","3.0","0.8",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Health Care: Intrdis Appr","Course Total","155","3.879","78.7","12.9","5.8","1.3","0.6","",".","",".","0.6",".",".",".",".","",".",".",".","."
"Intro to Nursing Practice","212
001","108","3.593","43.5","39.8","9.3","6.5",".","","0.9","",".",".",".",".",".",".","",".",".",".","."
"","219
001 305","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 314","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 313","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 312","7","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 311","7","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 310","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 309","4","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 308","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 306","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 304","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 303","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 302","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 301","7","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
