"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"728
PHM PRAC","","Grades","GPA","","","","","","","","","","","","","","","",""
"","425
001 305","29","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","425
001 304","27","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","425
001 303","29","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","425
001 302","23","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","425
001 301","25","",".",".",".",".",".",".",".",".",".",".",".","96.0",".",".","4.0","."
"Intro-Pharm Care Clrkshp I","Course Total","133","",".",".",".",".",".",".",".",".",".",".",".","99.2",".",".","0.8","."
"Therpeutcs-PAs&Adv Prac Nur,I","440
001","39","3.311","41.0","12.8","15.4","15.4","5.1","5.1",".",".",".",".",".",".","5.1",".",".","."
"Computr Applic Phmcy Pract","470
001 301","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
002 301","4","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","490
002","11","3.688","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","15","3.688","40.0","20.0","13.3",".",".",".",".",".",".",".",".",".","26.7",".",".","."
"","490
004","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
005","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
007","4","3.625","75.0",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","29","3.750","58.6","17.2","6.9","3.4",".",".",".",".",".",".",".",".","13.8",".",".","."
"Intro-Phmceut Care Clrk III","525
034","120","",".",".",".",".",".",".",".",".",".",".",".","99.2",".",".","0.8","."
"","550
001","53","3.472","39.6","24.5","30.2","1.9","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"","550
002","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","Course Total","58","3.500","41.4","25.9","27.6","1.7","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","555
001 304","25","3.140","12.0","36.0","28.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","555
001 303","28","2.875","14.3","21.4","21.4","25.0","14.3",".","3.6",".",".",".",".",".",".",".",".","."
"","555
001 301","27","3.130","11.1","29.6","40.7","11.1","7.4",".",".",".",".",".",".",".",".",".",".","."
"","555
001 305","20","3.300","30.0","25.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","555
001 302","22","3.341","40.9","13.6","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","122","3.139","20.5","25.4","28.7","15.6","9.0",".","0.8",".",".",".",".",".",".",".",".","."
"","555
002","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","Course Total","132","3.154","21.2","26.5","28.8","14.4","8.3",".","0.8",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570
002","9","3.111","11.1","44.4",".","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","5","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiopharmaceuticals","612
001","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phmceut Care Clrk V","625
034","132","",".",".",".",".",".",".",".",".",".",".",".","99.2",".",".","0.8","."
"","655
001 301 6","26","3.231","34.6","11.5","30.8","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"","655
001 301 6","25","3.300","24.0","36.0","16.0","24.0",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001 301 6","27","3.074","22.2","11.1","33.3","25.9","7.4",".",".",".",".",".",".",".",".",".",".","."
"","655
001 301 6","29","3.224","27.6","6.9","48.3","17.2",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001 301 6","29","3.293","24.1","31.0","24.1","20.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","Course Total","136","3.224","26.5","19.1","30.9","19.9","3.7",".",".",".",".",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","664
004","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","101","3.791","68.3","16.8","11.9",".","1.0",".",".",".",".",".",".",".","2.0",".",".","."
"","699
008","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
033","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
041","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
049","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
079","2","3.000",".",".","50.0",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","699
081","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","699
083","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 427 of 441",""
