"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","","",""
"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"692
NURSING","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Community Health Nursing","444
003","","9","3.556","44.4","33.3","11.1","11.1",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 336","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 324","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 325","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 326","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 327","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 328","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 330","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 311","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 346","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 333","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 339","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 340","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 341","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 343","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 344","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 345","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 323","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 331","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 310","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 301","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 302","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 303","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 304","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 306","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 308","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 313","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 309","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 322","","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","449
001 312","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 314","","2","3.000","50.0",".",".",".","50.0","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 315","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 316","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 317","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 318","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 319","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","449
001 320","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","","39","3.855","79.5","12.8","2.6",".","2.6","",".","",".",".",".",".",".",".","2.6",".",".","."
"","470
001","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","470
002","","5","4.000","80.0",".",".",".",".","",".","",".",".",".",".",".",".","20.0",".",".","."
"Primary Health Care-School","Course Total","","6","4.000","83.3",".",".",".",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"","490
020","","12","3.864","75.0","8.3","8.3",".",".","",".","",".",".",".",".",".",".","8.3",".",".","."
"","490
026","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","14","3.851","71.4","14.3","7.1",".",".","",".","",".",".",".",".",".",".","7.1",".",".","."
"Capstone Practicum for RN's","519
001","","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","590
002","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","590
003","","11","3.864","72.7","27.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","","12","3.864","66.7","25.0",".",".",".","",".","",".","8.3",".",".",".",".",".",".",".","."
