"PHM","","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PH","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"732
S&A PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","105
001","9","3.389","11.1","66.7","11.1","11.1",".",".","",".",".",".",".",".",".",".",".",".","."
"","105
002 301","2","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","11","3.500","18.2","63.6","9.1","9.1",".",".","",".",".",".",".",".",".",".",".",".","."
"","411
001 306","21","3.286","9.5","42.9","42.9","4.8",".",".","",".",".",".",".",".",".",".",".",".","."
"","411
001 301","23","3.432","30.4","30.4","26.1","8.7",".",".","",".",".",".",".",".",".","4.3",".",".","."
"","411
001 302","24","3.417","25.0","37.5","33.3","4.2",".",".","",".",".",".",".",".",".",".",".",".","."
"","411
001 303","22","3.523","36.4","40.9","13.6","9.1",".",".","",".",".",".",".",".",".",".",".",".","."
"","411
001 305","23","3.522","34.8","39.1","21.7","4.3",".",".","",".",".",".",".",".",".",".",".",".","."
"","411
001 304","20","3.500","35.0","35.0","25.0","5.0",".",".","",".",".",".",".",".",".",".",".",".","."
"Psychosocial Aspects-Pharm","Course Total","133","3.447","28.6","37.6","27.1","6.0",".",".","",".",".",".",".",".",".","0.8",".",".","."
"","510
001 306","22","2.955","22.7",".","50.0",".","27.3",".","",".",".",".",".",".",".",".",".",".","."
"","510
001 304","15","3.133","33.3",".","46.7",".","20.0",".","",".",".",".",".",".",".",".",".",".","."
"","510
001 305","21","3.095","38.1",".","33.3",".","14.3","14.3","",".",".",".",".",".",".",".",".",".","."
"","510
001 303","21","2.905","23.8",".","42.9",".","33.3",".","",".",".",".",".",".",".",".",".",".","."
"","510
001 301","23","2.957","21.7",".","52.2",".","21.7","4.3","",".",".",".",".",".",".",".",".",".","."
"","510
001 302","24","3.000","29.2",".","41.7",".","25.0","4.2","",".",".",".",".",".",".",".",".",".","."
"Marketng&Econ Aspects-Pharm","Course Total","126","3.000","27.8",".","44.4",".","23.8","4.0","",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","13","3.269","30.8","7.7","53.8",".","7.7",".","",".",".",".",".",".",".",".",".",".","."
"Prosem:Social & Behav Phcy","622
001","9","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
012","5","4.000","80.0",".",".",".",".",".","",".",".",".",".",".",".","20.0",".",".","."
"","699
065","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"Advanced Independent Study","Course Total","6","4.000","66.7",".",".",".",".",".","",".",".",".",".",".",".","33.3",".",".","."
"Conference-Research Workers","911
001","17","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","990
012","3","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
021","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
037","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
065","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","10","",".",".",".",".",".",".","",".","70.0",".",".",".","30.0",".",".",".","."
"Advanced Independent Study","999
079","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
