"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","N","NR","Other"
"632
MEDICINE","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"Clin Elect Rheumtol-CSC/VAH","Course Total","4","4.000","75.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","25.0"
"Clin Rheumatol Clerk-Mshfld","989
007","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"632
MEDICINE","Dept. Total","266","3.705","47.4","26.3","10.2","0.4","",".","",".","",".","2.3","",".",".","",".","",".","5.6",".",".","7.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Special","","19","",".",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","100.0"
"Prof Yr 3","","29","3.427","27.6","31.0","31.0",".","",".","",".","",".",".","",".",".","",".","",".","10.3",".",".","."
"Prof Yr 4","","218","3.772","54.1","28.0","8.3","0.5","",".","",".","",".","2.8","",".",".","",".","",".","5.5",".",".","0.9"
"Professionals","","247","3.705","51.0","28.3","10.9","0.4","",".","",".","",".","2.4","",".",".","",".","",".","6.1",".",".","0.8"
"","Dept. Total","266","3.705","47.4","26.3","10.2","0.4","",".","",".","",".","2.3","",".",".","",".","",".","5.6",".",".","7.9"
