"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL THERAPY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"745
PHY THER","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","523
001 302","","16","3.719","56.3","31.3","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","523
001 301","","16","3.688","56.3","25.0","18.8",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Cardiovasc&Pulmonry Treatmt","Course Total","","32","3.703","56.3","28.1","15.6",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","527
001 302","","15","3.767","66.7","20.0","13.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","527
001 301","","16","3.781","62.5","31.3","6.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Foundatns-Phy Ther Practice","Course Total","","31","3.774","64.5","25.8","9.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","538
001","","16","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","538
002","","15","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Smr-Professional Issues I","Course Total","","31","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","540
001","","12","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","540
002","","12","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Smr-Professional Issues III","Course Total","","24","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","635
001 301","","12","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","635
001 302","","12","3.583","41.7","33.3","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Chldrn-Motor Cont Dysfunctn","Course Total","","24","3.667","45.8","41.7","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Scientific Inquiry-Phy Ther","640
001","","31","3.871","80.6","12.9","6.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Current Issues-Rehabilitatn","641
001","","13","",".",".",".",".","",".","",".","",".",".",".","84.6",".",".","",".",".",".","."
"Research Practicum","642
001","","15","",".",".",".",".","",".","",".","",".",".",".","93.3",".",".","",".",".",".","."
"Clinical Internship II","651
001","","38","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Clinical Internship III","652
001","","38","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Clin Path: Implications for PT","665
001","","24","3.625","41.7","41.7","16.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","676
001 302","","12","3.625","33.3","58.3","8.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","676
001 301","","12","3.542","25.0","58.3","16.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Musculoskel Assesmnt&Trtmnt I","Course Total","","24","3.583","29.2","58.3","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"745
PHY THER","Dept. Total","","325","3.700","28.0","16.9","6.2",".","",".","",".","",".",".",".","38.5",".",".","",".",".",".","."
