"NURSING","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"692
NURSING","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Interdis Rur Prim Hlth Care","600
001","","6","3.500","33.3","16.7","33.3",".","",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"","601
002 310","","3","3.667","66.7",".","33.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","601
003","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","","6","3.810","83.3",".","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","613
020","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","613
030","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","613
040","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","613
041","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","","6","3.893","83.3","16.7",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","614
010","","3","3.667","33.3","66.7",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","614
020","","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","614
030","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","614
040","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","614
050","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","","16","3.932","87.5","12.5",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","615
020","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","615
030","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","615
040","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","615
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac III","Course Total","","5","4.000","80.0",".",".",".","",".","",".","",".",".",".",".",".",".","20.0",".",".","."
"Pharmacother-Adv Prac Nurse","617
001","","33","3.538","18.2","12.1","6.1",".","","3.0","",".","",".","60.6",".",".",".",".",".",".",".","."
"Clinicl Educ-Nursing Pract","672
001","","11","3.909","90.9",".","9.1",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","681
016","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
026","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
035","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
046","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
048","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","681
068","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
087","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
094","","2","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","681
096","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","","14","4.000","21.4",".",".",".","",".","",".","",".",".",".",".",".","64.3","14.3",".",".","."
"Directed Study in Nursing","698
054","","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","699
026","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
037","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
041","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
049","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
061","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
063","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","8","3.944","87.5",".","12.5",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Nursing Research I","700
001","","26","3.792","61.5","23.1","7.7",".","",".","",".","",".",".",".",".",".",".","7.7",".",".","."
"Interpretv Rsch-Health Care","701
001","","26","3.942","88.5","11.5",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Hlth Promo&Disease Prevention","702
001","","19","3.842","73.7","21.1","5.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Hlth Care & Public Policy-US","703
001","","23","3.609","65.2","17.4","13.0",".","",".","",".","","4.3",".",".",".",".",".",".",".",".","."
"Leadershp-Roles,Ethics,Care","704
001","","19","3.833","63.2","31.6",".",".","",".","",".","",".",".",".",".",".",".","5.3",".",".","."
"Preventn&Mgmt-Hlth Probs I","715
040","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
