"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROLOGY","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"676
NEUROL","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"","922
041","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","922
042","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","922
043","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clin Neurol Consul Serv-CSC","Course Total","","4","3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
042","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clin Neurol-Outpt Clerk-CSC","Course Total","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
006","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","924
042","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","100.0"
"Neuromusc Disease Clerk-CSC","Course Total","","2","4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","50.0"
"676
NEUROL","Dept. Total","","8","3.846","62.5","25.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","12.5"
