"TERM:  1234","","","","","","","","","","","","","","","",""
"COLLEGE:  NUR","","","","","","","","","","","","","","","",""
"SUBJECT:  NURSING (692)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T
W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","105","LEC","001","1","-","","","","","","","ONLINE","306","209","0000747546","P / DAVID DWYER"
"A1","105","DIS","301","1","-","","","","","","","ONLINE","29","16","0006454822","P / HALIMAT ABDULGANIYU"
"A1","105","DIS","302","1","-","","","","","","","ONLINE","33","21","0006293011","P / PRINCESS VELE"
"A1","105","DIS","303","1","-","","","","","","","ONLINE","29","13","0000707160","P / ANGIE BAKER"
"A1","105","DIS","304","1","-","","","","","","","ONLINE","30","19","0006454822","P / HALIMAT ABDULGANIYU"
"A1","105","DIS","305","1","-","","","","","","","ONLINE","31","25","0006293011","P / PRINCESS VELE"
"A1","105","DIS","306","1","-","","","","","","","ONLINE","31","20","0000931587","P / DIANA LOVE"
"A1","105","DIS","307","1","-","","","","","","","ONLINE","29","20","0000931587","P / DIANA LOVE"
"A1","105","DIS","308","1","-","","","","","","","ONLINE","31","21","0000747546","P / DAVID DWYER"
"A1","105","DIS","309","1","-","","","","","","","ONLINE","30","30","0004377926","P / ELISABETH FLETCHER"
"A1","105","DIS","310","1","-","","","","","","","ONLINE","30","21","0004377926","P / ELISABETH FLETCHER"
"A1","105","DIS","311","1","-","","","","","","","ONLINE","3","3","0000747546","P / DAVID DWYER"
"A1","299","IND","018","1","-","","","","","","","","","1","0002601175","P / BARBARA BOWERS"
"A1","318","LEC","001","1","10:45 - 12:00","M","W","","","","","0044 1321","","158","0005850112","P / TRACI SNEDDEN"
"A1","318","LEC","001","1","10:45 - 12:00","M","W","","","","","0044 1321","","158","0003426834","P / STACY OTTO"
"A1","323","LEC","001","1","09:00 - 10:15","M","W","","","","","0044 1321","","161","0000487576","P / REBECCA MUEHRER"
"A1","324","LEC","001","1","07:30 - 08:45","M","W","","","","","0044 1321","","158","0002601955","P / LINDA OAKLEY"
"A1","325","LEC","001","1","13:00 - 15:00","","W","","","","","0044 1321","","80","0000544001","P / JESSICA LECLAIR"
"A1","325","LEC","001","1","13:00 - 15:00","","W","","","","","0044 1321","","80","0002601955","P / LINDA OAKLEY"
"A1","325","LEC","002","1","13:00 - 15:00","M","","","","","","0044 1321","","78","0002601955","P / LINDA OAKLEY"
"A1","325","LEC","002","1","13:00 - 15:00","M","","","","","","0044 1321","","78","0000544001","P / JESSICA LECLAIR"
"AGG","326","LEC","001","1","-","","","","","","","","","159","0003488329","P / HEIDI NEUHAUSER"
"AGG","326","LEC","001","1","-","","","","","","","","","159","0006243065","P / DANA O'BRIEN"
"AGG","326","FLD","301","1","06:00 - 16:00","","T","","","","","","","8","0003677228","P / KATIE PAVEK"
"AGG","326","FLD","301","1","13:00 - 17:00","M","","","","","","0044 2334","","8","0003384450","P / LEAH KIRSCHLING"
"AGG","326","FLD","302","1","06:00 - 16:00","","T","","","","","","","8","0006242963","P / NICHOLE HINKEL"
"AGG","326","FLD","303","1","13:00 - 17:00","M","","","","","","0044 2342","","8","0003488329","P / HEIDI NEUHAUSER"
"AGG","326","FLD","304","1","13:00 - 17:00","M","","","","","","0044 2163","","8","0000728280","P / CASSIE VOGE"
"AGG","326","FLD","305","1","13:00 - 17:00","M","","","","","","0044 2309","","8","0003439287","P / ANNA KOHL"
