"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"Hematol-Oncology Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"965
Pediatric Neurol Clerk-CSC","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"967","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Pulmonary Clrk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990
Research","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PEDIAT
708","Dept. Total","","136","3.696","52.2","41.9","5.1","0.7",".",".",".",".",".",".",".",".",".",".",".","."
