"TERM : 1082","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2007-2008","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN
Dept. Total
436","117","3.583","41.9","42.7","12.8","1.7","",".","",".","",".","0.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","4","3.667","75.0",".","25.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","9","3.821","88.9",".","11.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","15","4.000","93.3",".",".",".","",".","",".","",".","6.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","79","3.513","24.1","57.0","16.5","2.5","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","14","3.714","57.1","35.7","7.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","93","3.536","29.0","53.8","15.1","2.2","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","117","3.583","41.9","42.7","12.8","1.7","",".","",".","",".","0.9","",".",".","",".","",".","",".",".",".","."
