"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"440
Therpeutcs-PAs&Adv Prac Nur,I","001","","36","3.333","33.3","27.8","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Intro-Phmceut Care Clrk III","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Fluid & Electrolyte Therapy","001","","51","3.539","39.2","37.3","17.6","3.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"555
Pharmacotherapy I","001","","124","3.331","29.8","32.3","21.8","8.1","7.3","0.8",".",".",".",".",".",".",".",".",".","."
"612
Radiopharmaceuticals","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Pharmacotherapy III","001","","123","3.248","10.6","45.5","30.9","8.9","4.1",".",".",".",".",".",".",".",".",".",".","."
"664","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"670
Veterinary Therapeutics","001","","63","3.867","81.0","11.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","003","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","004","","24","3.813","75.0","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","49","3.857","77.6","18.4","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"741","003","","25","3.939","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","004","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","52","3.942","90.4","7.7","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","003","","74","3.804","73.0","17.6","6.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","73","3.774","76.7","9.6","6.8","5.5","1.4",".",".",".",".",".",".",".",".",".",".","."
"760","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","124","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","134","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","144","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","","155","3.790","74.8","13.5","7.1","3.9","0.6",".",".",".",".",".",".",".",".",".",".","."
"961
Conf:Rsch Workers Hosp Phm","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 397 of 410",""
