"MED","","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH
Dept. Total
810","522","3.763","62.8","21.6","8.0","0.2","0.6","0.2","",".","5.7","",".",".","",".","0.2","0.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Junior","8","3.594","50.0","12.5","12.5",".","12.5",".","",".","12.5","",".",".","",".",".",".",".",".","."
"Senior","67","3.611","53.7","17.9","22.4","1.5","3.0",".","",".","1.5","",".",".","",".",".",".",".",".","."
"Undergraduates","75","3.610","53.3","17.3","21.3","1.3","4.0",".","",".","2.7","",".",".","",".",".",".",".",".","."
"Special","30","3.484","50.0","23.3","16.7",".",".","3.3","",".","6.7","",".",".","",".",".",".",".",".","."
"Graduate","183","3.771","56.3","23.5","6.0",".",".",".","",".","13.7","",".",".","",".","0.5",".",".",".","."
"Prof Yr 1","4","3.667","50.0","50.0",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","5","3.750","80.0",".","20.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","14","3.964","92.9","7.1",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","211","3.847","71.6","22.3","4.3",".",".",".","",".","0.5","",".",".","",".",".","1.4",".",".","."
"Professionals","234","3.849","72.6","21.4","4.3",".",".",".","",".","0.4","",".",".","",".",".","1.3",".",".","."
"Dept. Total","522","3.763","62.8","21.6","8.0","0.2","0.6","0.2","",".","5.7","",".",".","",".","0.2","0.6",".",".","."
