"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"Science in America","394","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","","11","3.714","27.3","36.4",".",".",".",".",".","18.2",".",".",".",".","9.1",".",".","9.1"
"Dev Public Health-America","509","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of the (American) Body","532","001","","11","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545","001","","24","3.565","50.0","8.3","37.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553","001","","26","3.646","50.0","23.1","15.4","3.8",".",".",".",".",".",".",".",".","7.7",".",".","."
"","559","001","","22","3.023","36.4","9.1","22.7","4.5","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","559","003","","24","3.587","58.3","20.8","8.3",".","4.2","4.2",".",".",".",".",".",".",".","4.2",".","."
"Topics-Ethics & Hist of Med","","Course Total","","46","3.311","47.8","15.2","15.2","2.2","10.9","6.5",".",".",".",".",".",".",".","2.2",".","."
"Greek & Roman Med & Phcy","561","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Int'l Health & Global Society","753","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioethics and the Law","905","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","","Dept. Total","","155","3.465","45.8","20.6","17.4","3.9","3.2","1.9","0.6","1.9",".",".",".",".","2.6","0.6",".","1.3"
