"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Intro-Mathematical Sociology","375
001","16","3.167","31.3","18.8",".","6.3","12.5","6.3",".","18.8",".",".",".",".",".","6.3",".","."
"Social Prob-Aging & Old Age","422
001","14","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","103","3.447","31.1","44.7","15.5","3.9","2.9","1.9",".",".",".",".",".",".",".",".",".","."
"Sociodem Anal-Mexican Migratn","470
001","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","475
001","56","3.045","42.9","14.3","14.3","1.8","12.5","10.7","3.6",".",".",".",".",".",".",".",".","."
"","002
475","29","3.841","72.4","24.1","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
475","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
475","33","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","128","3.418","46.9","29.7","10.9","0.8","5.5","4.7","1.6",".",".",".",".",".",".",".",".","."
"","002
496","23","3.065","17.4","13.0","43.5","17.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"","003
496","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
496","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
496","15","3.367","53.3","20.0","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","007
496","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
496","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","009
496","12","3.750","75.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","010
496","25","3.820","76.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","126","3.644","65.9","14.3","10.3","7.1","1.6",".","0.8",".",".",".",".",".",".",".",".","."
"","530
002","37","3.432","37.8","35.1","13.5","8.1","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","003
530","26","2.154",".","7.7","19.2","23.1","26.9","19.2","3.8",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","63","2.991","22.2","23.8","15.9","14.3","12.7","9.5","1.6",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Organization&Change","573
001","25","3.320","32.0","28.0","20.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Community Development","617
001","27","3.165","25.9","29.6","25.9","11.1",".","3.7","3.7",".",".",".",".",".",".",".",".","."
"Gender, Society & Politics","623
001","20","3.475","40.0","20.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Social Movements","626
001","28","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Organizations","632
001","20","3.342","30.0","20.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Social Stratification","633
001","31","3.277","22.6","38.7","22.6","3.2","12.9",".",".",".",".",".",".",".",".",".",".","."
"Sociology of the Family","640
001","41","3.306","29.3","24.4","31.7","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","42","3.341","26.2","28.6","35.7","7.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663
001","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674
001","27","3.654","51.9","29.6","11.1",".","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"","681
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","085
681","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","682
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","035
682","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","088
691","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","094
691","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 303 of 410",""
