"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","23","3.652","69.6","8.7","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","","194","3.707","64.9","21.6","7.2","3.6","1.0","0.5","0.5","0.5",".",".",".",".",".",".",".","."
"","400
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
400","","17","3.905","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","006
400","","10","3.895","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
400","","14","3.863","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
400","","8","3.879","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
400","","13","3.964","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
400","","14","3.844","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","011
400","","13","3.964","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
400","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","94","3.907","85.1","12.8",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","401
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Prob-Aging & Old Age","422
001","","16","3.567","31.3","43.8","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","440
001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
440","","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
440","","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
440","","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","","95","3.868","77.9","17.9","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","","56","3.920","85.7","12.5","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
441","","35","3.914","88.6","5.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","","91","3.918","86.8","9.9","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","","46","3.167","23.9","19.6","32.6","8.7","13.0",".",".",".",".",".",".",".",".",".",".","2.2"
"Homelessness: Service Learning","578
001","","25","3.717","52.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".","4.0",".","4.0"
"The Field of Social Work","605
001","","33","3.803","60.6","39.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","80","3.744","71.3","13.8","13.8",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","644
001","","56","3.486","48.2","23.2","17.9","3.6",".","1.8","1.8","3.6",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","665
001","","14","3.921","78.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"","672
001","","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
672","","26","3.808","80.8","15.4",".",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","Course Total","","46","3.859","87.0","8.7",".","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"","699
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
699","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","034
699","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","050
699","","12","3.922","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","051
699","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","067
699","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","070
699","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","3.923","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","","40","3.628","42.5","37.5","17.5",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","712
001","","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
712","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
