"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematology","703
001","153","3.306","29.4","15.7","43.1","8.5","2.6",".",".",".",".",".",".",".",".",".",".","0.7"
"Cardiovascular System","706
001","154","3.549","39.6","34.4","23.4","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Respiratory System","715
001","154","3.539","48.1","15.6","32.5","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology I","717
001","154","3.698","54.5","30.5","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Contemp Iss:Health Care","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neoplastic Diseases","721
001","153","3.680","62.7","13.7","20.9","2.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Patient, Doctor & Society I","800
001","152","3.813","73.0","19.7","5.3","0.7","1.3",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 3","806
001","154","3.925","87.0","11.0","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1099","3.628","55.1","19.7","19.8","2.3","0.8",".",".","0.1",".","2.1",".",".",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Junior","","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Senior","","4","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Undergraduates","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 1","","162","3.813","68.5","18.5","4.9","0.6","1.2",".",".",".",".","6.2",".",".",".",".",".","."
"Prof Yr 2","","925","3.617","53.3","20.1","22.7","2.6","0.8",".",".",".",".","0.4",".",".",".",".",".","0.1"
"Prof Yr 3","","4","",".",".",".",".",".",".",".","25.0",".","75.0",".",".",".",".",".","."
"Professionals","","1091","3.628","55.4","19.8","20.0","2.3","0.8",".",".","0.1",".","1.6",".",".",".",".",".","0.1"
"","Dept. Total","1099","3.628","55.1","19.7","19.8","2.3","0.8",".",".","0.1",".","2.1",".",".",".",".",".","0.1"
