"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","","7","3.583","14.3","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Mgmt & Leadershp in Nursing","437
003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","444
003","","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
020","","18","3.556","72.2","5.6","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","023
490","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","028
490","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","25","3.640","72.0","12.0","4.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","001
519","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"CNP
691","Dept. Total","","92","3.751","70.7","17.4","7.6","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".","1.1"
