"","023
490","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","028
490","","6","3.917","83.3","16.7",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Special Topics in Nursing","Course Total","","25","3.640","72.0","12.0","4.0","4.0","4.0","4.0","",".","",".","",".",".","",".","",".","",".",".",".","."
"Capstone Practicum for RN's","001
519","","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CNP
691","Dept. Total","","92","3.751","70.7","17.4","7.6","1.1","1.1","1.1","",".","",".","",".",".","",".","",".","",".",".",".","1.1"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","2","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","18","3.858","83.3","11.1",".","5.6",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","70","3.725","67.1","20.0","8.6",".","1.4","1.4","",".","",".","",".",".","",".","",".","",".",".",".","1.4"
"Undergraduates","","","91","3.759","71.4","17.6","6.6","1.1","1.1","1.1","",".","",".","",".",".","",".","",".","",".",".",".","1.1"
"Special","","","1","3.000",".",".","100.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","92","3.751","70.7","17.4","7.6","1.1","1.1","1.1","",".","",".","",".",".","",".","",".","",".",".",".","1.1"
