"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"155
Intro to Biology of Aging","001","","24","3.205","29.2","4.2","45.8",".","12.5",".",".","8.3",".",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","23","3.739","65.2","17.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Intro to Biostats for Pop Hlth","001","","18","3.417","33.3","38.9","22.2",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"553
Internl Hlth & Global Society","001","","6","3.600","16.7","66.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"650","034","","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","037","","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","038","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","046","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Special Topics","Course Total","","74","3.880","70.3","27.0",".",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","14","3.982","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"718","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"718","002","","25","3.958","92.0",".","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"International Health Systems","Course Total","","31","3.900","83.9","6.5","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"780
Public Hlth: Principles&Pract","001","","42","3.878","73.8","23.8",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"794
Biol Basis-Population Health","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","001","","34","3.603","38.2","47.1","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","68","3.750","61.8","26.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Adv Epidemiol: Etiol&Preventn","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Quant Meth-Populatn Health II","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","001","","22","3.565","22.7","63.6","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","004","","27","3.894","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","Course Total","","49","3.740","55.1","38.8","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"911","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","Course Total","","3","***","","","","","","","","","","","","","","","",""
"913
Clin Chem-Newborn-StateLab","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 374 of 410",""
