"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","35","3.771","65.7","22.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","11","3.545","72.7","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"Prof Skills I: Prof Prac in OT","610
001","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills III: Org & Mgmt-OT","612
001","20","3.525","40.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational-based Thry & Prac","620
001","24","3.848","75.0","12.5","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Assess Occupationl Participatn","621
001","25","3.542","32.0","44.0","16.0","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Yng Adult Occs&Ther Interventn","623
001","18","3.389","27.8","44.4","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Adoles&Yng Adlt","626
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sci Inq-OT I: Evidence-Based","671
001","24","3.957","91.7",".","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Sci Inq-OT III: Data Coll&Anal","673
001","18","3.889","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","799
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","250","3.695","57.6","18.8","7.2","2.4","0.4","0.4",".",".",".","12.0",".",".","1.2",".",".","."
