"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","201","3.203","35.8","15.4","24.9","10.9","8.0","3.5","1.0",".",".",".",".",".",".",".","0.5","."
"420
Intro-Drug Action&Delivry I","001","","138","3.058","15.9","21.7","29.7","23.2","8.0","0.7",".","0.7",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","118","2.966","16.9","16.1","22.9","29.7","13.6",".",".",".",".",".",".",".",".",".","0.8","."
"493
Selected Topics-Pharm Sci","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Pharmacology I","001","","138","2.818","5.1","20.3","34.8","18.8","16.7","3.6",".","0.7",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","135","2.789","11.9","8.9","37.8","17.0","20.0","4.4",".",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","126","3.024","7.9","22.2","40.5","25.4","4.0",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","127","3.559","57.5","13.4","20.5","3.9","3.1","1.6",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","10","3.200","10.0","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","135","3.144","18.5","19.3","45.2","9.6","5.9","1.5",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","13","3.269","23.1","15.4","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","9","3.222","22.2","33.3","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"638
Nonprescription Medications","001","","104","3.223","18.3","27.9","36.5","9.6","5.8","1.0",".","1.0",".",".",".",".",".",".",".","."
"645
Phmceut","001","","122","3.254","25.4","25.4","32.8","10.7","4.1","1.6",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"691
Senior Thesis","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","3.948","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics-Pharm Sci","001","","11","3.790","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Pharmaceutical Sci Seminar","001","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 395 of 410",""
