"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","171","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","181","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","183","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","186","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","194","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","198","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","206","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","213","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","217","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","27","3.333","18.5","25.9","51.9",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"812","082","","25","3.320","16.0","32.0","52.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","28","3.286","21.4","21.4","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","Course Total","","83","3.309","18.1","26.5","51.8","2.4",".",".",".",".",".",".",".",".",".",".","1.2","."
"903
MSTP Clin Clrkshp-Grad School","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"914","007","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914","009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914","010","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914","011","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"914","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeutics I-Chronic Disease","Course Total","","48","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"916","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 352 of 410",""
