"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Women, Culture & Representn","101","001","109","3.162","18.3","37.6","26.6","5.5","5.5","3.7","1.8","0.9",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","141","2.816","12.1","22.7","24.8","15.6","18.4","3.5","2.8",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","370","3.308","25.1","37.3","21.9","7.6","5.9","0.5","0.8","0.8",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","11","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Literature","250","001","16","3.500","18.8","68.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Humanities","310","001","39","3.566","46.2","28.2","15.4","5.1","2.6",".",".",".",".",".",".",".",".",".",".","2.6"
"","320","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","001","28","3.196","32.1","17.9","28.6","7.1","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"","320","002","35","3.132","22.9","34.3","17.1","8.6","8.6","2.9","2.9",".",".",".",".",".",".",".",".","2.9"
"Topics - Women & Society","","Course Total","65","3.170","27.7","26.2","23.1","7.7","9.2","3.1","1.5",".",".",".",".",".",".",".",".","1.5"
"Race&Gendr-Post-WW II  US Soc","326","001","32","3.453","43.8","28.1","12.5","6.3","9.4",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","33","3.375","33.3","45.5","9.1","3.0",".",".","6.1","3.0",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","40","3.410","12.5","57.5","25.0","2.5",".",".",".","2.5",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","49","3.449","34.7","36.7","22.4","4.1",".",".","2.0",".",".",".",".",".",".",".",".","."
"Feminism&Soc&Culturl Theory","449","001","43","3.726","65.1","25.6","4.7",".",".",".","2.3",".",".",".",".",".","2.3",".",".","."
"Psychology of Women","522","001","18","3.111","22.2","5.6","55.6","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"History of the (American) Body","532","001","19","3.111",".","47.4","21.1","26.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Gender and Education","560","001","15","3.033","33.3","20.0","13.3","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","16","3.313","25.0","50.0","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis I","681","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis II","682","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Women","732","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Women's/Gender Studies","900","001","13","3.308","46.2","23.1","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Sociological Perspectvs-Gender","904","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","","Course Total","4","***","","","","","","","","","","","","","","","",""
