"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"812","041","","12","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","14","3.286","21.4","50.0","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"812","043","","15","3.500","26.7","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"812","044","","15","3.400","20.0","46.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","14","3.464","28.6","50.0","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"812","046","","12","3.542","16.7","75.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","82","3.432","19.5","56.1","17.1","2.4","3.7",".",".",".",".",".",".",".",".",".",".","1.2"
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","5","***","","","","","","","","","","","","","","","",""
"923","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SpecAdultPsychClerk-Mendota","Course Total","","2","***","","","","","","","","","","","","","","","",""
"924","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","4","***","","","","","","","","","","","","","","","",""
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"946","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
