"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","21","3.595","38.1","47.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","19","3.632","31.6","63.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","20","3.600","25.0","70.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","20","3.650","35.0","60.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","80","3.619","32.5","60.0","6.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"910","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922
Clin Pediatric Clerk-Mshfld","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","Course Total","","3","***","","","","","","","","","","","","","","","",""
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"950","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"953","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"956","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
