"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","161","3.811","77.0","13.7","6.2","0.6","2.5",".",".",".",".",".",".",".",".",".",".","."
"","002
105","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","183","3.828","78.7","13.1","5.5","0.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"","212
001","131","2.939","3.1","29.8","41.2","16.0","6.9",".","3.1",".",".",".",".",".",".",".",".","."
"","002
212","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness I","Course Total","155","3.077","12.9","30.3","34.8","13.5","5.8",".","2.6",".",".",".",".",".",".",".",".","."
"","219
001","131","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
219","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","155","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Independent Reading","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","301
001","134","3.825","70.9","26.1","2.2",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"","002
301","24","3.771","58.3","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","158","3.816","69.0","27.8","2.5",".",".","0.6",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","56","3.732","58.9","28.6","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","113","3.664","55.8","27.4","11.5","4.4","0.9",".",".",".",".",".",".",".",".",".",".","."
"","002
322","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","138","3.721","63.0","23.2","9.4","3.6","0.7",".",".",".",".",".",".",".",".",".",".","."
"","419
001","66","3.894","90.9","4.5","1.5","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"","002
419","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","91","3.923","93.4","3.3","1.1","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"","422
001","124","3.250","15.3","46.8","22.6","11.3","1.6","0.8","1.6",".",".",".",".",".",".",".",".","."
"","002
422","25","3.440","12.0","68.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","149","3.282","14.8","50.3","21.5","10.1","1.3","0.7","1.3",".",".",".",".",".",".",".",".","."
"","433
001","128","3.730","66.4","23.4","6.3","0.8","2.3",".","0.8",".",".",".",".",".",".",".",".","."
"","002
433","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","153","3.768","70.6","20.9","5.2","0.7","2.0",".","0.7",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","59","3.958","91.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
470","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","3","***","","","","","","","","","","","","","","","",""
"","590
002","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","003
590","39","3.808","64.1","33.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
590","24","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","75","3.770","52.0","25.3","6.7",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"","601
001","44","3.727","63.6","27.3","2.3","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"","002
601","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","49","3.724","63.3","26.5","4.1","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","613
040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","041
613","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","060
613","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","10","3.963","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
614","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","020
614","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","021
614","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 390 of 410",""
