"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","002","","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"812","003","","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"812","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","006","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","007","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","009","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","011","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","012","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","70","3.686","55.7","34.3","5.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
