"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"812","081","","28","3.536","25.0","57.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","30","3.517","23.3","56.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","27","3.667","40.7","51.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Primary Care Clrkshp","Course Total","","85","3.571","29.4","55.3","15.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","061","","12","3.333","33.3","8.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"813","062","","11","3.227","9.1","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"813","063","","24","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","064","","24","3.354","33.3","16.7","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Cl Neurosci Clrkshp","Course Total","","71","3.352","26.8","23.9","42.3","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"840","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"840","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"840","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"840","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec 4th Yr Precept/Clrkshp","Course Total","","14","3.856","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"852","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"852","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"852","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Ashland","Course Total","","4","***","","","","","","","","","","","","","","","",""
"853
Preceptorship-Beaver Dam","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"854","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"854","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Beloit","Course Total","","2","***","","","","","","","","","","","","","","","",""
"855
Preceptorship-Blk Riv Falls","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"856","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"856","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"856","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Eau Claire","Course Total","","4","***","","","","","","","","","","","","","","","",""
"858","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"858","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Green Bay","Course Total","","2","***","","","","","","","","","","","","","","","",""
"860","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"860","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
"862
Preceptorship-Marshfield","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"863
Preceptorship-Milwaukee","036","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"864
Preceptorship-Monroe","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"865
Preceptorship-Rhinelander","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"866
Preceptorship-Rice Lake","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"868
Preceptorship-Sheboygan","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"870
Preceptorship-Viroqua","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"871","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"871","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
