"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","273","3.082","22.3","17.6","35.2","11.4","9.9","3.7",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610
001","52","3.202","17.3","34.6","28.8","13.5","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","33","3.424","30.3","30.3","36.4",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700
001","27","3.519","37.0","29.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Act Sci, Risk Mgmt & Ins I","920
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","079
990","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","079
999","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","2","***","","","","","","","","","","","","","","","",""
"R M I
241","Dept. Total","397","3.174","24.2","21.4","33.2","9.6","7.6","2.8",".","1.3",".",".",".",".",".",".",".","."
