"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
002","20","3.275","20.0","35.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
120","21","3.619","38.1","52.4","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","004
120","90","3.133","18.9","36.7","22.2","10.0","7.8","2.2","2.2",".",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","131","3.214","22.1","38.9","20.6","9.2","6.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Contemporary Amer Society","125
002","346","3.015","12.4","28.3","30.1","17.3","6.6","3.2","1.2","0.6",".",".",".",".",".","0.3",".","."
"Criminal Justice in America","131
001","135","2.590","11.9","8.9","24.4","14.1","30.4","7.4","1.5","0.7",".",".",".",".","0.7",".",".","."
"","134
001","447","3.173","11.0","34.2","37.6","13.2","2.7","0.4","0.2","0.7",".",".",".",".",".",".",".","."
"","002
134","65","3.462","53.8","16.9","13.8","4.6","9.2",".","1.5",".",".",".",".",".",".",".",".","."
"","003
134","69","3.235","31.9","26.1","20.3","1.4","11.6","2.9","1.4","4.3",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","581","3.205","18.2","31.3","32.9","10.8","4.5","0.7","0.5","1.0",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","001
140","25","3.080","24.0","32.0","24.0","8.0","4.0",".","8.0",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","217","2.979","13.8","14.7","40.1","22.6","4.6","2.3","0.9",".",".",".",".",".",".",".","0.5","0.5"
"Directed Study","198
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","016
199","31","3.843","93.5",".","3.2",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","056
199","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","066
199","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","098
199","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","36","3.865","94.4",".","2.8",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","121","3.349","24.8","34.7","25.6","10.7","2.5",".",".",".",".",".",".",".",".","0.8",".","0.8"
"The Sociological Enterprise","211
001","86","3.200","34.9","20.9","14.0","16.3","8.1","4.7",".",".",".",".",".",".",".",".",".","1.2"
"Ethnic Movements in U.S.","220
001","67","3.328","29.9","43.3","13.4","4.5","4.5","1.5","3.0",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","38","3.216","23.7","26.3","21.1","21.1","5.3",".",".",".",".",".",".",".",".","2.6",".","."
"Africa: Introductory Survey","001
277","26","3.308","26.9","26.9","34.6","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","357
001","29","3.778","69.0","24.1","3.4",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","002
357","19","3.000","10.5","31.6","21.1","21.1","15.8",".",".",".",".",".",".",".",".",".",".","."
"","003
357","21","3.310","23.8","33.3","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
357","14","3.536","28.6","57.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","005
357","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
357","20","3.425","30.0","55.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","007
357","17","3.294","23.5","29.4","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","008
357","19","3.211","42.1","21.1","10.5","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","009
357","21","3.524","57.1","19.0","9.5",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","010
357","16","3.250","18.8","31.3","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","188","3.397","35.6","33.5","16.0","8.5","5.3",".","1.1",".",".",".",".",".",".",".",".","."
"","360
001","39","3.141","20.5","28.2","33.3","5.1","10.3",".","2.6",".",".",".",".",".",".",".",".","."
"","002
360","32","3.422","37.5","34.4","9.4","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
360","29","2.946","6.9","44.8","10.3","20.7","6.9","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","100","3.177","22.0","35.0","19.0","12.0","8.0","1.0","2.0","1.0",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","18","3.389","33.3","44.4","5.6",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","43","3.570","46.5","25.6","25.6",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
002","10","3.200","30.0","30.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
