"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"","215","001","","83","3.633","56.6","20.5","16.9","4.8","1.2",".",".",".",".",".",".",".",".",".",".","."
"","215","002","","108","3.664","48.1","38.0","11.1","0.9","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","","Course Total","","191","3.650","51.8","30.4","13.6","2.6","1.0",".",".","0.5",".",".",".",".",".",".",".","."
"Independent Study","299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","6","1.583",".","16.7","16.7",".","16.7","16.7","33.3",".",".",".",".",".",".",".",".","."
"Cooperatives","323","001","","51","2.770","15.7","23.5","21.6","5.9","21.6","3.9","5.9","2.0",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","6","2.857","16.7",".","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","","12","2.603","25.0","8.3","16.7","25.0","8.3",".","16.7",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374","001","","43","2.988","14.0","14.0","53.5","7.0","7.0","2.3","2.3",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Agricultural Finance","419","001","","25","2.960","16.0","20.0","36.0","12.0","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"Production Economics","420","001","","9","3.563","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Agri & Econ Development-Africa","477","001","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","575","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","002","","13","3.792","61.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Special Topics","","Course Total","","20","3.737","60.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"Applied Microeconomic Thry","635","001","","14","3.536","28.6","57.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics-Ag Develpmt","732","001","","6","3.167",".","16.7","33.3",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Dynnamc Natrl Resource Econ","760","001","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","799","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","063","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
