"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"625
Vet Diag&Therapeut Techniq","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","17","4.000","11.8",".",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","27","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","21","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","33","4.000","3.0",".",".",".",".",".",".","97.0",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","36","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","23","4.000","30.4",".",".",".",".",".",".","69.6",".",".",".",".",".",".",".","."
"675","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","27","4.000","51.9",".",".",".",".",".",".","48.1",".",".",".",".",".",".",".","."
"675","003","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","006","","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","007","","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","008","","77","3.097","9.1","23.4","54.5","3.9","9.1",".",".",".",".",".",".",".",".",".",".","."
"675","009","","77","3.091","9.1","20.8","58.4","2.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","407","3.123","6.9","8.4","21.4","1.2","3.4",".",".","58.7",".",".",".",".",".",".",".","."
"678","001","","42","4.000","52.4",".",".",".",".",".",".","47.6",".",".",".",".",".",".",".","."
"678","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","44","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","15","4.000","73.3",".",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"699","010","","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"701
Production Medicine I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Production Medicine II","001","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
