"EDU","","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","","23","3.370","21.7","47.8","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","105
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
105","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","10","3.867","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Medical Terminology","148
001","","49","3.787","79.6","4.1","8.2",".","2.0","2.0",".","4.1",".",".",".",".",".",".",".","."
"Neurology","502
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopedics","503
001","","23","3.435","26.1","47.8","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","524
001","","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","524
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeutic Use of Activity","Course Total","","21","3.605","71.4","23.8",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","530
001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lifespan Occupatnl Perfrmnc","Course Total","","21","3.738","81.0","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","538
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","538
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Occ Ther Pro Practice","Course Total","","21","3.810","95.2",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546
001","","8","3.188",".","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties I","639
001","","23","3.761","52.2","47.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","648
001","","23","3.543","17.4","73.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Mental Health","649
001","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662
002","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork in Mental Health","Course Total","","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664
001","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664
002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork-Physical Disabil","Course Total","","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","791
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","799
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
