"","923
043","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","923
046","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clin Neurol-Outpt Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuromusc Disease Clerk-CSC","924
004","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"NEUROL
676","Dept. Total","","84","3.410","29.8","22.6","44.0","2.4","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.2"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","3.833","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","3","3.833","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","2","3.833","50.0","50.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","8","3.833","62.5","37.5",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","65","3.418","26.2","30.8","43.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","3","3.800","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","68","3.437","27.9","30.9","41.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","77","3.469","31.2","32.5","36.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
