"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","258","3.016","25.6","10.1","36.4","5.4","18.6","3.9",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610
001","36","3.250","19.4","16.7","61.1",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","52","3.167","25.0","13.5","42.3","7.7","7.7","1.9",".","1.9",".",".",".",".",".",".",".","."
"Life and Health Insurance","630
001","36","3.486","41.7","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".","2.8",".","."
"Mgt-Insurance Enterprise","640
001","32","3.109","18.8","18.8","43.8","3.1","15.6",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710
001","12","3.292","25.0","25.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","799
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","Course Total","2","***","","","","","","","","","","","","","","","",""
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","2","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","432","3.112","26.4","13.0","38.2","5.3","13.7","2.5",".","0.7",".",".",".",".",".","0.2",".","."
